vendor,type,win,svr,ver,url,outfile,destinationpath
MSFT,secbase,,,Edgev80,https://download.microsoft.com/download/8/5/C/85C25433-A1B0-4FFA-9429-7E023E7DA8D8/Microsoft%20Edge%20v80.zip,C:\BorgKit\Downloads\MSFT\SecBaseLines\Microsoft Edge v80.zip,C:\BorgKit\SecBaseLines\MSFT\Microsoft Edge v80
MSFT,secbase,,,Office365ProPlus,https://download.microsoft.com/download/8/5/C/85C25433-A1B0-4FFA-9429-7E023E7DA8D8/Office365-ProPlus-Sept2019-FINAL.zip,C:\borgkit\Downloads\MSFT\SecBaseLines\Office365-ProPlus-Sept2019-FINAL.zip,C:\BorgKit\SecBaseLines\MSFT\Office365-ProPlus-Sept2019-FINAL
MSFT,secbase,Win10,Svr2019,1909,https://download.microsoft.com/download/8/5/C/85C25433-A1B0-4FFA-9429-7E023E7DA8D8/Windows%2010%20Version%201909%20and%20Windows%20Server%20Version%201909%20Security%20Baseline.zip,C:\borgkit\Downloads\MSFT\SecBaseLines\Windows 10 Version 1909 and Windows Server Version 1909 Security Baseline.zip,C:\BorgKit\SecBaseLines\MSFT\Windows 10 Version 1909 and Windows Server Version 1909 Security Baseline
MSFT,tool,,,Sysmon,https://download.sysinternals.com/files/Sysmon.zip,C:\borgkit\Downloads\MSFT\Tools\Sysmon.zip,C:\BorgKit\Tools\Sysmon
MSFT,ADMX,Win10,,2019,https://download.microsoft.com/download/3/3/2/332816c1-1b4e-4d7d-9dd0-47ba02124d4d/Administrative%20Templates%20(.admx)%20for%20Windows%2010%20November%202019%20Update.msi,C:\borgkit\Downloads\MSFT\ADMX\Administrative Templates (.admx) for Windows 10 November 2019 Update.msi,C:\BorgKit\ADMX\MSFT\Administrative Templates (.admx) for Windows 10 November 2019 Update
MSFT,tool,,,LGPO,https://download.microsoft.com/download/8/5/C/85C25433-A1B0-4FFA-9429-7E023E7DA8D8/LGPO.zip,C:\BorgKit\Downloads\MSFT\Tools\LGPO.zip,C:\BorgKit\Tools
MSFT,tool,,,LAPSx64,https://download.microsoft.com/download/C/7/A/C7AAD914-A8A6-4904-88A1-29E657445D03/LAPS.x64.msi,C:\borgkit\Downloads\MSFT\Tools\LAPS.x64.msi,C:\BorgKit\Tools\LAPS\x64
MSFT,tool,,,LAPSx86,https://download.microsoft.com/download/C/7/A/C7AAD914-A8A6-4904-88A1-29E657445D03/LAPS.x86.msi,C:\borgkit\Downloads\MSFT\Tools\LAPS.x86.msi,C:\BorgKit\Tools\LAPS\x86
SwiftOnSecurity,config,,,SysmonXML,https://raw.githubusercontent.com/SwiftOnSecurity/sysmon-config/master/sysmonconfig-export.xml,C:\BorgKit\Scripts\sysmonconfig-export.xml,C:\BorgKit\Scripts
jepayne,script,,,WEFFLES,https://github.com/jepayneMSFT/WEFFLES/archive/master.zip,C:\BorgKit\Downloads\Scripts\WEFFLESmaster.zip,C:\BorgKit\Scripts\WEFFLESmaster
PAW,script,,,PAWcontent,https://gallery.technet.microsoft.com/Privileged-Access-3d072563/file/188014/1/PAWContent%2002052018%20includes%20updated%20firewall.wfw.zip,C:\BorgKit\Downloads\Scripts\PAWContent 02052018 includes updated firewall.wfw.zip,C:\BorgKit\Scripts\PAW
alexverboon,script,,,ImportSecBaselinesGPO,https://gist.githubusercontent.com/alexverboon/d744339246dc9d28641ab7acbb70385a/raw/8cf9adf6c5ee6993a0c28d6b52d52a4dd8f9095f/Import-SecurityBaselineGPO.ps1,C:\BorgKit\Scripts\Import-SecurityBaselineGPO.ps1,C:\BorgKit\Scripts
